epoch,total_loss,train_accuracy,val_accuracy,age_task_loss,gender_task_loss,race_task_loss,age_train_accuracy,gender_train_accuracy,race_train_accuracy,age_val_accuracy,gender_val_accuracy,race_val_accuracy
1,0.0079,0.3585,0.4362,1.9275,0.6631,1.7837,0.2516,0.6094,0.2146,0.3174,0.6891,0.3021
2,0.0063,0.5059,0.5546,1.4574,0.3602,1.1686,0.3738,0.7511,0.3926,0.4084,0.8009,0.4546
3,0.0054,0.5790,0.5854,1.2759,0.3583,1.0860,0.4301,0.8226,0.4842,0.4265,0.8244,0.5054
4,0.0050,0.6146,0.6182,1.2860,0.2946,1.1439,0.4646,0.8503,0.5290,0.4623,0.8568,0.5355
5,0.0047,0.6354,0.6292,1.3043,0.3699,1.2255,0.4844,0.8665,0.5553,0.4784,0.8600,0.5492
6,0.0045,0.6513,0.6430,0.9590,0.1764,1.0176,0.5000,0.8780,0.5759,0.4829,0.8742,0.5720
7,0.0043,0.6638,0.6482,1.0903,0.3446,1.1665,0.5143,0.8861,0.5910,0.4987,0.8749,0.5711
8,0.0042,0.6745,0.6533,1.4104,0.2851,1.0650,0.5244,0.8945,0.6048,0.4936,0.8790,0.5874
9,0.0041,0.6838,0.6610,1.1019,0.2413,0.8355,0.5325,0.8999,0.6190,0.5091,0.8882,0.5856
10,0.0040,0.6916,0.6584,0.8772,0.6019,0.8261,0.5407,0.9052,0.6288,0.4987,0.8870,0.5893
11,0.0039,0.6999,0.6654,1.0350,0.1942,0.8337,0.5493,0.9098,0.6406,0.5104,0.8909,0.5950
12,0.0038,0.7070,0.6631,1.0846,0.2090,0.5236,0.5572,0.9145,0.6493,0.5090,0.8844,0.5959
13,0.0037,0.7131,0.6706,1.1311,0.1739,0.8517,0.5632,0.9173,0.6589,0.5149,0.8952,0.6018
14,0.0036,0.7196,0.6775,0.9359,0.2499,0.9077,0.5718,0.9213,0.6656,0.5203,0.8985,0.6137
15,0.0036,0.7261,0.6752,0.8452,0.2476,0.9093,0.5766,0.9251,0.6766,0.5111,0.8949,0.6196
16,0.0035,0.7314,0.6731,1.1922,0.1799,0.5849,0.5839,0.9273,0.6830,0.5198,0.8817,0.6177
17,0.0034,0.7374,0.6813,0.9623,0.2301,0.9377,0.5894,0.9315,0.6914,0.5245,0.8979,0.6215
18,0.0034,0.7432,0.6798,0.8815,0.2105,0.7667,0.5980,0.9338,0.6980,0.5231,0.9001,0.6163
19,0.0033,0.7489,0.6833,0.8623,0.2208,0.9144,0.6032,0.9373,0.7061,0.5237,0.8991,0.6272
20,0.0032,0.7542,0.6823,0.8794,0.0882,0.6786,0.6075,0.9406,0.7146,0.5234,0.9007,0.6227
21,0.0032,0.7593,0.6830,0.8091,0.1802,0.8325,0.6131,0.9429,0.7219,0.5244,0.8977,0.6268
22,0.0031,0.7652,0.6765,0.8836,0.0511,0.6442,0.6212,0.9450,0.7293,0.5218,0.9001,0.6076
23,0.0030,0.7704,0.6834,1.1522,0.1185,0.6604,0.6255,0.9486,0.7370,0.5179,0.9022,0.6303
24,0.0030,0.7769,0.6801,0.9271,0.0835,0.8040,0.6350,0.9518,0.7438,0.5190,0.9001,0.6211
25,0.0029,0.7821,0.6828,0.8425,0.0477,0.4344,0.6407,0.9542,0.7512,0.5216,0.8970,0.6298
